date,equity,cash,positions
2023-01-09,101753.78,20417.68,4
2023-01-10,101971.43,66.93,5
2023-01-11,102190.24,66.93,5
2023-01-12,100935.95,0.29,5
2023-01-13,103302.78,20806.73,4
2023-01-16,102844.46,21262.3,4
2023-01-17,102344.93,0.0,5
2023-01-18,102445.25,0.0,5
2023-01-19,103329.84,682.4,5
2023-01-20,103794.93,2402.61,5
2023-01-30,104082.57,21868.35,4
2023-01-31,100299.93,40252.1,3
2023-02-01,100727.66,19032.49,4
2023-02-02,101218.48,0.0,5
2023-02-03,103232.75,1808.43,5
2023-02-06,103842.36,1100.07,5
2023-02-07,103695.28,1206.93,5
2023-02-08,102961.74,0.0,5
2023-02-09,106026.95,20381.47,4
2023-02-10,104443.31,21386.47,4
2023-02-13,104605.38,84091.42,1
2023-02-14,104513.43,62743.98,2
2023-02-15,102656.15,20938.61,4
2023-02-16,101347.5,80683.7,1
2023-02-17,101466.94,80683.7,1
2023-02-20,102422.49,80683.7,1
2023-02-21,103645.58,61955.16,2
2023-02-22,103962.32,20496.93,4
2023-02-23,103240.61,20496.93,4
2023-02-24,103292.13,40707.9,3
2023-02-27,102644.49,81915.37,1
2023-02-28,102953.57,102953.57,0
2023-03-01,102953.57,102953.57,0
2023-03-02,103062.76,61772.14,2
2023-03-03,101448.64,20547.04,4
2023-03-06,101171.98,257.31,5
2023-03-07,98138.33,18937.76,4
2023-03-08,97446.78,78089.02,1
2023-03-09,99388.79,78089.02,1
2023-03-10,99232.81,78089.02,1
2023-03-13,99669.56,99669.56,0
2023-03-14,99669.56,99669.56,0
2023-03-15,99669.56,99669.56,0
2023-03-16,99669.56,99669.56,0
2023-03-17,99669.56,99669.56,0
2023-03-20,99669.56,99669.56,0
2023-03-21,99669.56,99669.56,0
2023-03-22,99669.56,99669.56,0
2023-03-23,99669.56,99669.56,0
2023-03-24,99669.56,99669.56,0
2023-03-27,99669.56,99669.56,0
2023-03-28,99669.56,99669.56,0
2023-03-29,99669.56,99669.56,0
2023-03-30,99669.56,99669.56,0
2023-03-31,99669.56,99669.56,0
2023-04-03,99669.56,99669.56,0
2023-04-04,99669.56,99669.56,0
2023-04-06,99669.56,99669.56,0
2023-04-07,99669.56,99669.56,0
2023-04-10,99669.56,99669.56,0
2023-04-11,99669.56,99669.56,0
2023-04-12,99669.56,99669.56,0
2023-04-13,99669.56,99669.56,0
2023-04-14,99669.56,99669.56,0
2023-04-17,99669.56,99669.56,0
2023-04-18,99669.56,99669.56,0
2023-04-19,100461.55,59801.74,2
2023-04-20,102479.73,19617.12,4
2023-04-21,101410.02,21453.77,4
2023-04-24,100305.18,40267.66,3
2023-04-25,100827.22,59426.52,2
2023-04-26,99805.02,79027.55,1
2023-04-27,100438.86,100438.86,0
2023-04-28,100438.86,100438.86,0
2023-05-04,100438.86,100438.86,0
2023-05-05,100438.86,100438.86,0
2023-05-08,100438.86,100438.86,0
2023-05-09,100438.86,100438.86,0
2023-05-10,100438.86,100438.86,0
2023-05-11,100438.86,100438.86,0
2023-05-12,100438.86,100438.86,0
2023-05-15,100438.86,100438.86,0
2023-05-16,100438.86,100438.86,0
2023-05-17,100438.86,100438.86,0
2023-05-18,100438.86,100438.86,0
2023-05-19,100438.86,100438.86,0
2023-05-22,100438.86,100438.86,0
2023-05-23,100438.86,100438.86,0
2023-05-24,100438.86,100438.86,0
2023-05-25,100438.86,100438.86,0
2023-05-26,100438.86,100438.86,0
2023-05-29,100438.86,100438.86,0
2023-05-30,100438.86,100438.86,0
2023-05-31,100438.86,100438.86,0
2023-06-01,100438.86,100438.86,0
2023-06-02,100438.86,100438.86,0
2023-06-05,100438.86,100438.86,0
2023-06-06,100438.86,100438.86,0
2023-06-07,100438.86,100438.86,0
2023-06-08,100438.86,100438.86,0
2023-06-09,100438.86,100438.86,0
2023-06-12,100438.86,100438.86,0
2023-06-13,100438.86,100438.86,0
2023-06-14,100438.86,100438.86,0
2023-06-15,100438.86,100438.86,0
2023-06-16,100438.86,100438.86,0
2023-06-19,100438.86,100438.86,0
2023-06-20,100438.86,100438.86,0
2023-06-21,100438.86,100438.86,0
2023-06-26,100438.86,100438.86,0
2023-06-27,100438.86,100438.86,0
2023-06-28,100438.86,100438.86,0
2023-06-29,100438.86,100438.86,0
2023-06-30,100438.86,100438.86,0
2023-07-03,100438.86,100438.86,0
2023-07-04,100438.86,100438.86,0
2023-07-05,100438.86,100438.86,0
2023-07-06,100438.86,100438.86,0
2023-07-07,100438.86,100438.86,0
2023-07-10,100438.86,100438.86,0
2023-07-11,100438.86,100438.86,0
2023-07-12,100438.86,100438.86,0
2023-07-13,100438.86,100438.86,0
2023-07-14,100438.86,100438.86,0
2023-07-17,100438.86,100438.86,0
2023-07-18,100438.86,100438.86,0
2023-07-19,100438.86,100438.86,0
2023-07-20,100438.86,100438.86,0
2023-07-21,100438.86,100438.86,0
2023-07-24,100438.86,100438.86,0
2023-07-25,100438.86,100438.86,0
2023-07-26,100438.86,100438.86,0
2023-07-27,100438.86,100438.86,0
2023-07-28,100438.86,100438.86,0
2023-07-31,100569.2,60263.32,2
2023-08-01,101410.83,20035.64,4
