date,equity,cash,positions
2024-01-18,86972.11,86972.11,0
2024-01-19,86972.11,86972.11,0
2024-01-22,86972.11,86972.11,0
2024-01-23,86972.11,86972.11,0
2024-01-24,86972.11,86972.11,0
2024-01-25,86972.11,86972.11,0
2024-01-26,86972.11,86972.11,0
2024-01-29,86972.11,86972.11,0
2024-01-30,86972.11,86972.11,0
2024-01-31,86972.11,86972.11,0
2024-02-01,86972.11,86972.11,0
2024-02-02,86972.11,86972.11,0
2024-02-05,86972.11,86972.11,0
2024-02-06,86972.11,86972.11,0
2024-02-07,86972.11,86972.11,0
2024-02-08,86866.41,52183.27,2
2024-02-19,89511.94,34809.98,3
2024-02-20,91189.83,17516.06,4
2024-02-21,89378.08,0.0,5
2024-02-22,90249.68,899.62,5
2024-02-23,89663.73,1143.6,5
2024-02-26,89258.52,18230.56,4
2024-02-27,90934.41,484.1,5
2024-02-28,89022.97,0.0,5
2024-02-29,91182.41,42.89,5
2024-03-01,90890.51,232.79,5
2024-03-04,93136.73,153.36,5
2024-03-05,92974.82,0.0,5
2024-03-06,93439.96,0.0,5
2024-03-07,94816.61,21052.89,4
2024-03-08,95647.4,18742.6,4
2024-03-11,96166.62,19530.5,4
2024-03-12,94479.38,19686.17,4
2024-03-13,93685.42,56283.18,2
2024-03-14,93218.84,18809.01,4
2024-03-15,95307.36,0.0,5
2024-03-18,97188.57,1214.72,5
2024-03-19,95738.94,407.05,5
2024-03-20,97134.91,221.71,5
2024-03-21,96540.01,0.0,5
2024-03-22,97066.54,1596.5,5
2024-03-25,95165.09,0.0,5
2024-03-26,96502.21,0.0,5
2024-03-27,96575.13,21175.91,4
2024-03-28,98237.01,1860.88,5
2024-03-29,101601.96,21612.15,4
2024-04-01,104462.28,40983.57,3
2024-04-02,105507.01,19959.87,4
2024-04-03,104254.47,0.0,5
2024-04-08,102568.32,20540.86,4
2024-04-09,104069.51,20972.66,4
2024-04-10,103784.81,21369.6,4
2024-04-11,104438.27,612.63,5
2024-04-12,108645.58,809.23,5
2024-04-15,109656.05,1441.17,5
2024-04-16,106069.57,21612.02,4
2024-04-17,108236.83,0.0,5
2024-04-18,106201.77,0.0,5
2024-04-19,110101.04,21202.06,4
2024-04-22,107833.83,21870.51,4
2024-04-23,105573.02,20480.6,4
2024-04-24,106047.76,40801.48,3
2024-04-25,104831.15,0.0,5
2024-04-26,106667.93,1484.76,5
2024-04-29,106820.64,2858.04,5
2024-04-30,106631.56,21876.66,4
2024-05-06,107440.88,0.0,5
2024-05-07,107075.09,21932.7,4
2024-05-08,107323.87,517.68,5
2024-05-09,108789.59,2303.3,5
2024-05-10,108184.2,42324.55,3
2024-05-13,108700.09,0.0,5
2024-05-14,109449.0,1627.86,5
2024-05-15,107989.74,1269.21,5
2024-05-16,106582.25,66.61,5
2024-05-17,107375.04,0.0,5
2024-05-20,108493.5,1459.48,5
2024-05-21,107745.55,1539.3,5
2024-05-22,106275.71,683.25,5
2024-05-23,105155.87,20371.27,4
2024-05-24,104612.57,0.0,5
2024-05-27,105933.55,0.0,5
2024-05-28,104953.93,15.44,5
2024-05-29,106002.93,519.89,5
2024-05-30,106084.96,1003.82,5
2024-05-31,105434.33,1003.82,5
2024-06-03,105388.76,62445.74,2
2024-06-04,107712.05,42940.87,3
2024-06-05,106534.53,20847.98,4
2024-06-06,107734.85,0.0,5
2024-06-07,107714.36,0.0,5
2024-06-11,106502.71,62996.56,2
2024-06-12,105923.37,85426.0,1
2024-06-13,105644.67,105644.67,0
2024-06-14,105644.67,105644.67,0
2024-06-17,105644.67,105644.67,0
2024-06-18,105644.67,105644.67,0
2024-06-19,105644.67,105644.67,0
2024-06-20,105644.67,105644.67,0
2024-06-21,105644.67,105644.67,0
2024-06-24,105644.67,105644.67,0
2024-06-25,105644.67,105644.67,0
2024-06-26,105644.67,105644.67,0
2024-06-27,105644.67,105644.67,0
2024-06-28,105644.67,105644.67,0
2024-07-01,105644.67,105644.67,0
2024-07-02,105644.67,105644.67,0
2024-07-03,105644.67,105644.67,0
2024-07-04,105644.67,105644.67,0
2024-07-05,105644.67,105644.67,0
2024-07-08,105644.67,105644.67,0
2024-07-09,105644.67,105644.67,0
2024-07-10,105644.67,105644.67,0
2024-07-11,105644.67,105644.67,0
2024-07-12,105644.67,105644.67,0
2024-07-15,105644.67,105644.67,0
2024-07-16,105644.67,105644.67,0
2024-07-17,105644.67,105644.67,0
2024-07-18,105644.67,105644.67,0
2024-07-19,105644.67,105644.67,0
2024-07-22,105644.67,105644.67,0
2024-07-23,105644.67,105644.67,0
2024-07-24,105644.67,105644.67,0
2024-07-25,105644.67,105644.67,0
2024-07-26,105644.67,105644.67,0
2024-07-29,105644.67,105644.67,0
2024-07-30,105644.67,105644.67,0
2024-07-31,105644.67,105644.67,0
2024-08-01,105644.67,105644.67,0
2024-08-02,105644.67,105644.67,0
2024-08-05,105644.67,105644.67,0
2024-08-06,105644.67,105644.67,0
2024-08-07,105644.67,105644.67,0
2024-08-08,105644.67,105644.67,0
2024-08-09,105644.67,105644.67,0
2024-08-12,105644.67,105644.67,0
2024-08-13,105644.67,105644.67,0
2024-08-14,105644.67,105644.67,0
2024-08-15,105644.67,105644.67,0
2024-08-16,105644.67,105644.67,0
2024-08-19,105644.67,105644.67,0
2024-08-20,105644.67,105644.67,0
2024-08-21,105644.67,105644.67,0
2024-08-22,105644.67,105644.67,0
2024-08-23,105644.67,105644.67,0
2024-08-26,105644.67,105644.67,0
