date,regime,picks,wins,losses,holds,no_data,acceptance_mode,eligible_count,breadth_above_sma20,input_mode,bundle_id,bundle_composite_sha256,pit_grade
2023-11-23,bear,0,0,0,0,0,regime_filtered,0,,live,,,
2023-11-24,bear,0,0,0,0,0,regime_filtered,0,,live,,,
2023-11-27,bear,0,0,0,0,0,regime_filtered,0,,live,,,
2023-11-28,bear,0,0,0,0,0,regime_filtered,0,,live,,,
2023-11-29,bear,0,0,0,0,0,regime_filtered,0,,live,,,
2023-11-30,bear,0,0,0,0,0,regime_filtered,0,,live,,,
2023-12-01,bear,0,0,0,0,0,regime_filtered,0,,live,,,
2023-12-04,bear,0,0,0,0,0,regime_filtered,0,,live,,,
2023-12-05,bear,0,0,0,0,0,regime_filtered,0,,live,,,
2023-12-06,bear,0,0,0,0,0,regime_filtered,0,,live,,,
2023-12-07,bear,0,0,0,0,0,regime_filtered,0,,live,,,
2023-12-08,bear,0,0,0,0,0,regime_filtered,0,,live,,,
2023-12-11,bear,0,0,0,0,0,regime_filtered,0,,live,,,
2023-12-12,bear,0,0,0,0,0,regime_filtered,0,,live,,,
2023-12-13,bear,0,0,0,0,0,regime_filtered,0,,live,,,
2023-12-14,bear,0,0,0,0,0,regime_filtered,0,,live,,,
2023-12-15,bear,0,0,0,0,0,regime_filtered,0,,live,,,
2023-12-18,bear,0,0,0,0,0,regime_filtered,0,,live,,,
2023-12-19,bear,0,0,0,0,0,regime_filtered,0,,live,,,
2023-12-20,bear,0,0,0,0,0,regime_filtered,0,,live,,,
2023-12-21,bear,0,0,0,0,0,regime_filtered,0,,live,,,
2023-12-22,bear,0,0,0,0,0,regime_filtered,0,,live,,,
2023-12-25,bear,0,0,0,0,0,regime_filtered,0,,live,,,
2023-12-26,bear,0,0,0,0,0,regime_filtered,0,,live,,,
2023-12-27,bear,0,0,0,0,0,regime_filtered,0,,live,,,
2023-12-28,bear,0,0,0,0,0,regime_filtered,0,,live,,,
2023-12-29,bear,0,0,0,0,0,regime_filtered,0,,live,,,
2024-01-02,bear,0,0,0,0,0,regime_filtered,0,,live,,,
2024-01-03,bear,0,0,0,0,0,regime_filtered,0,,live,,,
2024-01-04,bear,0,0,0,0,0,regime_filtered,0,,live,,,
2024-01-05,bear,0,0,0,0,0,regime_filtered,0,,live,,,
2024-01-08,bear,0,0,0,0,0,regime_filtered,0,,live,,,
2024-01-09,bear,0,0,0,0,0,regime_filtered,0,,live,,,
2024-01-10,bear,0,0,0,0,0,regime_filtered,0,,live,,,
2024-01-11,bear,0,0,0,0,0,regime_filtered,0,,live,,,
2024-01-12,bear,0,0,0,0,0,regime_filtered,0,,live,,,
2024-01-15,bear,0,0,0,0,0,regime_filtered,0,,live,,,
2024-01-16,bear,0,0,0,0,0,regime_filtered,0,,live,,,
2024-01-17,bear,0,0,0,0,0,regime_filtered,0,,live,,,
2024-01-18,bear,0,0,0,0,0,regime_filtered,0,,live,,,
2024-01-19,bear,0,0,0,0,0,regime_filtered,0,,live,,,
2024-01-22,bear,0,0,0,0,0,regime_filtered,0,,live,,,
2024-01-23,bear,0,0,0,0,0,regime_filtered,0,,live,,,
2024-01-24,bear,0,0,0,0,0,regime_filtered,0,,live,,,
2024-01-25,bear,0,0,0,0,0,regime_filtered,0,,live,,,
2024-01-26,bear,0,0,0,0,0,regime_filtered,0,,live,,,
2024-01-29,bear,0,0,0,0,0,regime_filtered,0,,live,,,
2024-01-30,bear,0,0,0,0,0,regime_filtered,0,,live,,,
2024-01-31,bear,0,0,0,0,0,regime_filtered,0,,live,,,
2024-02-01,bear,0,0,0,0,0,regime_filtered,0,,live,,,
2024-02-02,bear,0,0,0,0,0,regime_filtered,0,,live,,,
2024-02-05,bear,0,0,0,0,0,regime_filtered,0,,live,,,
2024-02-06,bear,0,0,0,0,0,regime_filtered,0,,live,,,
2024-02-07,choppy,2,2,0,0,0,selective,8,0.4196,live,,,
2024-02-08,choppy,2,0,0,1,1,full,13,0.5351,live,,,
2024-02-19,choppy,2,0,0,2,0,full,8,0.5971,live,,,
2024-02-20,choppy,2,0,0,2,0,full,16,0.6211,live,,,
2024-02-21,choppy,2,0,1,1,0,full,19,0.7135,live,,,
2024-02-22,choppy,2,0,1,1,0,full,14,0.8254,live,,,
2024-02-23,choppy,2,0,1,1,0,full,18,0.9152,live,,,
2024-02-26,choppy,2,0,0,2,0,full,25,0.9405,live,,,
2024-02-27,bull,2,0,0,2,0,full,23,0.9722,live,,,
2024-02-28,bull,2,1,0,1,0,full,27,0.8596,live,,,
2024-02-29,bull,2,1,0,1,0,full,17,0.9633,live,,,
2024-03-01,bull,2,0,1,1,0,full,24,0.9475,live,,,
2024-03-04,bull,2,1,0,1,0,full,14,0.9241,live,,,
2024-03-05,bull,2,0,2,0,0,full,21,0.8989,live,,,
2024-03-06,bull,2,0,1,1,0,full,26,0.8951,live,,,
2024-03-07,bull,2,1,1,0,0,full,23,0.8319,live,,,
2024-03-08,bull,2,1,1,0,0,full,21,0.8148,live,,,
2024-03-11,bull,2,0,2,0,0,full,28,0.8925,live,,,
2024-03-12,bull,2,0,0,2,0,full,25,0.8698,live,,,
2024-03-13,bull,2,0,1,1,0,full,17,0.7845,live,,,
2024-03-14,bull,2,1,0,1,0,full,17,0.7389,live,,,
2024-03-15,bull,2,1,0,1,0,full,17,0.792,live,,,
2024-03-18,bull,2,0,2,0,0,full,17,0.847,live,,,
2024-03-19,bull,2,0,2,0,0,full,29,0.7566,live,,,
2024-03-20,bull,2,0,0,2,0,full,29,0.7617,live,,,
2024-03-21,bull,2,1,0,1,0,full,27,0.708,live,,,
2024-03-22,choppy,2,1,0,1,0,full,27,0.4956,live,,,
2024-03-25,choppy,2,1,0,1,0,full,27,0.3717,live,,,
2024-03-26,choppy,2,2,0,0,0,full,26,0.3666,live,,,
2024-03-27,choppy,2,2,0,0,0,selective,26,0.2193,live,,,
2024-03-28,choppy,2,1,0,0,1,selective,23,0.2866,live,,,
2024-03-29,choppy,2,0,0,2,0,full,21,0.3586,live,,,
2024-04-01,bull,2,1,1,0,0,full,20,0.553,live,,,
2024-04-02,bull,2,0,2,0,0,full,20,0.5205,live,,,
2024-04-03,bull,2,0,1,1,0,full,15,0.4845,live,,,
2024-04-08,choppy,2,1,0,1,0,full,26,0.3874,live,,,
2024-04-09,choppy,2,0,0,2,0,full,28,0.429,live,,,
2024-04-10,choppy,2,0,1,1,0,full,38,0.3741,live,,,
2024-04-11,choppy,2,1,0,1,0,full,33,0.3924,live,,,
2024-04-12,choppy,2,0,1,1,0,full,34,0.3552,live,,,
2024-04-15,bull,2,0,1,1,0,full,28,0.3729,live,,,
2024-04-16,choppy,2,1,1,0,0,full,32,0.2826,live,,,
2024-04-17,bull,2,0,2,0,0,full,22,0.3792,live,,,
2024-04-18,bull,2,1,1,0,0,full,38,0.3968,live,,,
2024-04-19,bull,2,0,0,2,0,full,38,0.3994,live,,,
2024-04-22,choppy,2,1,1,0,0,full,39,0.3886,live,,,
2024-04-23,bear,0,0,0,0,0,regime_filtered,0,,live,,,
2024-04-24,choppy,2,1,1,0,0,full,37,0.388,live,,,
2024-04-25,choppy,2,0,2,0,0,full,46,0.412,live,,,
2024-04-26,bull,2,0,2,0,0,full,35,0.5729,live,,,
2024-04-29,bull,2,2,0,0,0,full,31,0.7413,live,,,
2024-04-30,bull,2,0,0,2,0,full,33,0.6681,live,,,
2024-05-06,bull,2,0,1,0,1,full,18,0.7849,live,,,
2024-05-07,bull,2,0,0,2,0,full,31,0.7918,live,,,
2024-05-08,bull,2,1,0,1,0,full,35,0.7009,live,,,
2024-05-09,bull,2,0,1,0,1,full,27,0.8107,live,,,
2024-05-10,bull,2,1,1,0,0,full,35,0.7767,live,,,
2024-05-13,bull,2,0,0,2,0,full,26,0.6845,live,,,
2024-05-14,bull,2,0,0,2,0,full,40,0.6984,live,,,
2024-05-15,bull,2,0,2,0,0,full,47,0.605,live,,,
2024-05-16,bull,2,0,0,2,0,full,39,0.588,live,,,
2024-05-17,bull,2,0,1,1,0,full,33,0.6688,live,,,
2024-05-20,bull,2,0,1,0,1,full,28,0.7022,live,,,
2024-05-21,bull,2,0,1,1,0,full,38,0.6013,live,,,
2024-05-22,bull,2,0,0,2,0,full,34,0.5899,live,,,
2024-05-23,bull,2,1,0,1,0,full,27,0.3502,live,,,
2024-05-24,choppy,2,0,1,1,0,full,29,0.2871,live,,,
2024-05-27,choppy,2,0,0,2,0,full,25,0.3382,live,,,
2024-05-28,choppy,2,0,2,0,0,full,32,0.2694,live,,,
2024-05-29,choppy,2,1,0,1,0,full,31,0.2795,live,,,
2024-05-30,choppy,2,0,1,1,0,full,32,0.2341,live,,,
2024-05-31,bear,0,0,0,0,0,regime_filtered,0,,live,,,
2024-06-03,choppy,2,0,0,2,0,selective,19,0.2082,live,,,
2024-06-04,choppy,2,0,1,1,0,selective,19,0.277,live,,,
2024-06-05,choppy,2,0,0,1,1,selective,24,0.2156,live,,,
2024-06-06,choppy,2,0,1,1,0,selective,21,0.1828,live,,,
2024-06-07,bear,0,0,0,0,0,regime_filtered,0,,live,,,
2024-06-11,bear,0,0,0,0,0,regime_filtered,0,,live,,,
2024-06-12,bear,0,0,0,0,0,regime_filtered,0,,live,,,
2024-06-13,bear,0,0,0,0,0,regime_filtered,0,,live,,,
2024-06-14,bear,0,0,0,0,0,regime_filtered,0,,live,,,
2024-06-17,bear,0,0,0,0,0,regime_filtered,0,,live,,,
2024-06-18,bear,0,0,0,0,0,regime_filtered,0,,live,,,
2024-06-19,bear,0,0,0,0,0,regime_filtered,0,,live,,,
2024-06-20,bear,0,0,0,0,0,regime_filtered,0,,live,,,
2024-06-21,bear,0,0,0,0,0,regime_filtered,0,,live,,,
2024-06-24,bear,0,0,0,0,0,regime_filtered,0,,live,,,
2024-06-25,bear,0,0,0,0,0,regime_filtered,0,,live,,,
2024-06-26,bear,0,0,0,0,0,regime_filtered,0,,live,,,
2024-06-27,bear,0,0,0,0,0,regime_filtered,0,,live,,,
2024-06-28,bear,0,0,0,0,0,regime_filtered,0,,live,,,
2024-07-01,bear,0,0,0,0,0,regime_filtered,0,,live,,,
2024-07-02,bear,0,0,0,0,0,regime_filtered,0,,live,,,
2024-07-03,bear,0,0,0,0,0,regime_filtered,0,,live,,,
2024-07-04,bear,0,0,0,0,0,regime_filtered,0,,live,,,
2024-07-05,bear,0,0,0,0,0,regime_filtered,0,,live,,,
2024-07-08,bear,0,0,0,0,0,regime_filtered,0,,live,,,
2024-07-09,bear,0,0,0,0,0,regime_filtered,0,,live,,,
2024-07-10,bear,0,0,0,0,0,regime_filtered,0,,live,,,
2024-07-11,bear,0,0,0,0,0,regime_filtered,0,,live,,,
2024-07-12,bear,0,0,0,0,0,regime_filtered,0,,live,,,
2024-07-15,bear,0,0,0,0,0,regime_filtered,0,,live,,,
2024-07-16,bear,0,0,0,0,0,regime_filtered,0,,live,,,
2024-07-17,bear,0,0,0,0,0,regime_filtered,0,,live,,,
2024-07-18,bear,0,0,0,0,0,regime_filtered,0,,live,,,
2024-07-19,bear,0,0,0,0,0,regime_filtered,0,,live,,,
2024-07-22,bear,0,0,0,0,0,regime_filtered,0,,live,,,
2024-07-23,bear,0,0,0,0,0,regime_filtered,0,,live,,,
2024-07-24,bear,0,0,0,0,0,regime_filtered,0,,live,,,
2024-07-25,bear,0,0,0,0,0,regime_filtered,0,,live,,,
2024-07-26,bear,0,0,0,0,0,regime_filtered,0,,live,,,
2024-07-29,bear,0,0,0,0,0,regime_filtered,0,,live,,,
2024-07-30,bear,0,0,0,0,0,regime_filtered,0,,live,,,
2024-07-31,bear,0,0,0,0,0,regime_filtered,0,,live,,,
2024-08-01,bear,0,0,0,0,0,regime_filtered,0,,live,,,
2024-08-02,bear,0,0,0,0,0,regime_filtered,0,,live,,,
2024-08-05,bear,0,0,0,0,0,regime_filtered,0,,live,,,
2024-08-06,bear,0,0,0,0,0,regime_filtered,0,,live,,,
2024-08-07,bear,0,0,0,0,0,regime_filtered,0,,live,,,
2024-08-08,bear,0,0,0,0,0,regime_filtered,0,,live,,,
2024-08-09,bear,0,0,0,0,0,regime_filtered,0,,live,,,
2024-08-12,bear,0,0,0,0,0,regime_filtered,0,,live,,,
2024-08-13,bear,0,0,0,0,0,regime_filtered,0,,live,,,
2024-08-14,bear,0,0,0,0,0,regime_filtered,0,,live,,,
