baseline_date,regime,engine,ticker,name_cn,score,planned_entry_price,max_entry_price,stop_loss,target_1,holding_period,input_mode,bundle_id,bundle_composite_sha256,pit_grade
2022-06-22,bull,alpha_rs_pullback,300957.SZ,,98.68,197.08,201.02,188.56,213.34,5,live,,,
2022-06-23,bull,alpha_rs_pullback,600732.SH,,98.92,22.97,23.43,21.57,25.27,5,live,,,
2022-06-23,bull,alpha_rs_pullback,603659.SH,,97.29,54.69,55.78,51.66,60.16,5,live,,,
2022-06-24,bull,alpha_rs_pullback,600392.SH,,97.93,20.39,20.8,19.33,22.4,5,live,,,
2022-06-24,bull,alpha_rs_pullback,688063.SH,,97.45,197.01,200.95,184.19,221.49,5,live,,,
2022-06-27,bull,alpha_rs_pullback,603185.SH,,96.92,90.65,92.46,85.22,99.72,5,live,,,
2022-06-27,bull,alpha_rs_pullback,600566.SH,,96.19,23.45,23.92,22.22,25.79,5,live,,,
2022-06-28,bull,alpha_rs_pullback,688063.SH,,98.04,199.24,203.22,186.23,224.08,5,live,,,
2022-06-28,bull,alpha_rs_pullback,000516.SZ,,97.49,10.24,10.44,9.77,11.13,5,live,,,
2022-06-29,bull,alpha_rs_pullback,688063.SH,,98.03,200.74,204.75,187.61,225.81,5,live,,,
2022-06-29,bull,alpha_rs_pullback,600610.SH,,97.83,16.91,17.25,15.87,18.6,5,live,,,
2022-06-30,bull,alpha_rs_pullback,002466.SZ,,99.0,115.05,117.35,108.58,126.56,5,live,,,
2022-06-30,bull,alpha_rs_pullback,601628.SH,,98.66,28.44,29.01,26.94,31.28,5,live,,,
2022-07-01,bull,alpha_rs_pullback,600132.SH,,98.98,123.76,126.24,118.31,134.16,5,live,,,
2022-07-01,bull,alpha_rs_pullback,603529.SH,,98.97,30.47,31.08,28.56,33.52,5,live,,,
2022-07-04,bull,alpha_rs_pullback,300595.SZ,,98.55,54.33,55.42,50.16,62.29,5,live,,,
2022-07-04,bull,alpha_rs_pullback,603529.SH,,98.02,30.59,31.2,28.67,33.65,5,live,,,
2022-07-05,bull,alpha_rs_pullback,002705.SZ,,98.83,19.45,19.84,18.5,21.25,5,live,,,
2022-07-05,bull,alpha_rs_pullback,000596.SZ,,98.58,215.2,219.5,205.92,232.91,5,live,,,
2022-07-06,bull,alpha_rs_pullback,300395.SZ,,98.77,47.45,48.4,44.69,52.73,5,live,,,
2022-07-06,bull,alpha_rs_pullback,600610.SH,,98.72,16.96,17.3,16.15,18.51,5,live,,,
2022-07-07,bull,alpha_rs_pullback,300390.SZ,,98.83,64.18,65.46,60.47,71.27,5,live,,,
2022-07-07,bull,alpha_rs_pullback,000762.SZ,,98.06,59.68,60.87,56.13,65.65,5,live,,,
2022-07-08,bull,alpha_rs_pullback,688778.SH,,98.97,74.28,75.77,70.3,81.88,5,live,,,
2022-07-08,bull,alpha_rs_pullback,000762.SZ,,98.82,59.94,61.14,56.35,65.93,5,live,,,
2022-07-11,choppy,alpha_rs_pullback,300395.SZ,,98.81,48.33,49.3,45.52,53.7,5,live,,,
2022-07-11,choppy,alpha_rs_pullback,300832.SZ,,98.5,42.14,42.98,40.18,45.89,5,live,,,
2022-07-12,choppy,alpha_rs_pullback,688107.SH,,98.63,68.88,70.26,64.22,77.78,5,live,,,
2022-07-12,choppy,alpha_rs_pullback,600483.SH,,98.59,9.22,9.4,8.78,10.07,5,live,,,
2022-07-13,choppy,alpha_rs_pullback,600416.SH,,98.77,20.61,21.02,19.45,22.67,5,live,,,
2022-07-13,choppy,alpha_rs_pullback,300498.SZ,,98.6,23.19,23.65,22.02,25.41,5,live,,,
2022-07-14,choppy,alpha_rs_pullback,605117.SH,,98.5,54.92,56.02,50.5,60.41,5,live,,,
2022-07-14,choppy,alpha_rs_pullback,601717.SH,,97.99,12.3,12.55,11.51,13.53,5,live,,,
2022-07-15,choppy,alpha_rs_pullback,605111.SH,,98.89,67.07,68.41,62.78,73.78,5,live,,,
2022-07-15,choppy,alpha_rs_pullback,688599.SH,,98.87,70.85,72.27,66.63,78.9,5,live,,,
2022-07-18,choppy,alpha_rs_pullback,002050.SZ,,98.98,27.64,28.19,25.89,30.4,5,live,,,
2022-07-18,choppy,alpha_rs_pullback,605111.SH,,98.85,67.06,68.4,62.96,73.77,5,live,,,
2022-07-19,choppy,alpha_rs_pullback,300357.SZ,,98.81,49.9,50.9,47.48,54.52,5,live,,,
2022-07-19,choppy,alpha_rs_pullback,000516.SZ,,98.77,11.03,11.25,10.43,12.13,5,live,,,
2022-07-20,choppy,alpha_rs_pullback,600578.SH,,98.7,3.05,3.11,2.91,3.32,5,live,,,
2022-07-20,choppy,alpha_rs_pullback,603305.SH,,98.6,25.44,25.95,23.75,27.98,5,live,,,
2022-07-21,choppy,alpha_rs_pullback,002179.SZ,,98.97,46.8,47.74,45.04,50.16,5,live,,,
2022-07-21,choppy,alpha_rs_pullback,300724.SZ,,98.43,117.12,119.46,108.46,133.65,5,live,,,
2022-07-22,choppy,alpha_rs_pullback,000970.SZ,,98.99,19.33,19.72,17.95,21.26,5,live,,,
2022-07-22,choppy,alpha_rs_pullback,603876.SH,,98.99,33.09,33.75,31.22,36.4,5,live,,,
