ticker,stage,reason
CRDO,scoring,tech_score_below_min_5.5
BEEP,scoring,tech_score_below_min_5.5
MAX,scoring,tech_score_below_min_5.5
MC,scoring,tech_score_below_min_5.5
LOW,scoring,tech_score_below_min_5.5
HAS,filters,"Price $3.05 < $5.00; $ADV20 $150,018 < $30,000,000"
HOOD,scoring,tech_score_below_min_5.5
ABUS,scoring,tech_score_below_min_5.5
CBK,scoring,tech_score_below_min_5.5
PRIM,scoring,tech_score_below_min_5.5
RNAC,filters,"$ADV20 $1,394,245 < $30,000,000"
RYI,filters,"$ADV20 $1,394,245 < $30,000,000"
MCHP,filters,"$ADV20 $1,394,245 < $30,000,000"
UDR,filters,"$ADV20 $1,394,245 < $30,000,000"
SEG,filters,"$ADV20 $908,402 < $30,000,000"
WLFC,scoring,tech_score_below_min_5.5
OKLO,scoring,tech_score_below_min_5.5
BARK,filters,"$ADV20 $7,637,789 < $30,000,000"
PCH,scoring,tech_score_below_min_5.5
NVDA,filters,"$ADV20 $7,637,789 < $30,000,000"
RRR,filters,"$ADV20 $7,637,789 < $30,000,000"
LAUR,filters,"$ADV20 $7,637,789 < $30,000,000"
SABR,scoring,tech_score_below_min_5.5
GOOGL,filters,"Price $0.81 < $5.00; $ADV20 $731,817 < $30,000,000"
STE,scoring,tech_score_below_min_5.5
ACMR,scoring,tech_score_below_min_5.5
PKOH,scoring,tech_score_below_min_5.5
OTTR,scoring,tech_score_below_min_5.5
AMGN,filters,"Price $1.61 < $5.00; $ADV20 $17,676,330 < $30,000,000; 5d return 78.9% > 15.0% (avoiding chased names)"
DLR,scoring,tech_score_below_min_5.5
MAGN,scoring,tech_score_below_min_5.5
TNC,filters,"$ADV20 $677,111 < $30,000,000"
BANF,filters,"$ADV20 $677,111 < $30,000,000"
CWT,filters,"$ADV20 $2,475,677 < $30,000,000"
OCFC,filters,"$ADV20 $6,405,794 < $30,000,000"
SWKS,filters,"$ADV20 $13,310,717 < $30,000,000"
UFCS,filters,"$ADV20 $15,743,056 < $30,000,000"
