ts_code,trade_date,close,open,high,low,pre_close,change,pct_chg,vol,amount
000300.SH,2020-03-19,3589.0926,3623.789,3647.9874,3503.1866,3636.2565,-47.1639,-1.297,180807407.0,271827467.9616
000300.SH,2020-03-20,3653.2239,3629.5126,3663.9517,3588.7766,3589.0926,64.1313,1.7868,139603000.0,211223073.3231
000300.SH,2020-03-23,3530.3058,3542.6837,3585.8014,3523.7877,3653.2239,-122.9181,-3.3646,137108790.0,197669624.9701
000300.SH,2020-03-24,3625.1146,3598.6548,3627.7592,3545.4524,3530.3058,94.8088,2.6856,143103021.0,208553840.6885
000300.SH,2020-03-25,3722.5181,3711.4753,3732.6536,3685.9942,3625.1146,97.4035,2.6869,153495958.0,231561518.7612
000300.SH,2020-03-26,3698.0472,3692.6083,3736.2536,3681.2668,3722.5181,-24.4709,-0.6574,112310665.0,169336311.8614
000300.SH,2020-03-27,3710.0605,3746.3914,3758.7827,3709.9213,3698.0472,12.0133,0.3249,124060995.0,186103426.3347
000300.SH,2020-03-30,3674.1108,3657.4624,3690.6388,3637.5853,3710.0605,-35.9497,-0.969,126876673.0,180640799.4093
000300.SH,2020-03-31,3686.1551,3708.1404,3716.0707,3676.2024,3674.1108,12.0443,0.3278,111453025.0,161595510.0082
000300.SH,2020-04-01,3675.0758,3682.2966,3731.7799,3670.9653,3686.1551,-11.0793,-0.3006,119352620.0,170422568.8044
000300.SH,2020-04-02,3734.5306,3656.3225,3734.5306,3652.3167,3675.0758,59.4548,1.6178,115168209.0,168893255.6566
000300.SH,2020-04-03,3713.2183,3721.4815,3738.8323,3698.9822,3734.5306,-21.3123,-0.5707,99825083.0,150132815.0285
000300.SH,2020-04-07,3798.0214,3779.9076,3803.6286,3772.2054,3713.2183,84.8031,2.2838,142778030.0,207642820.3169
000300.SH,2020-04-08,3780.3445,3776.4171,3793.0023,3767.2924,3798.0214,-17.6769,-0.4654,111389513.0,161576772.3202
000300.SH,2020-04-09,3792.8105,3798.4879,3801.7245,3785.3116,3780.3445,12.466,0.3298,100485032.0,154595318.8128
000300.SH,2020-04-10,3769.1782,3794.8429,3824.7441,3758.9599,3792.8105,-23.6323,-0.6231,102444956.0,162251233.8007
000300.SH,2020-04-13,3753.2566,3751.7093,3769.8764,3740.1936,3769.1782,-15.9216,-0.4224,79053343.0,119874303.2046
